Age,Gender,Weight(kg),Daily Water Intake (liters),Physical Activity Level,Hydration Level
25,Female,69.22,1.93,Low,At Risk of Dehydration
21,Male,62.62,3.01,High,Hydrated
19,Male,83.82,1.99,High,At Risk of Dehydration
38,Male,97.31,3.79,Moderate,At Risk of Dehydration
31,Male,46.08,1.86,Low,At Risk of Dehydration
37,Male,79.06,2.38,Low,At Risk of Dehydration
40,Male,45.85,1.25,Low,At Risk of Dehydration
38,Male,99.76,1.3,Moderate,At Risk of Dehydration
28,Male,67.92,1.82,Moderate,At Risk of Dehydration
34,Male,97.43,3.4,High,At Risk of Dehydration
37,Male,96.34,2.93,High,Hydrated
43,Male,93.0,3.2,High,Hydrated
31,Male,99.59,3.89,Low,Hydrated
21,Female,49.09,2.02,Low,Hydrated
44,Female,92.92,3.17,Moderate,At Risk of Dehydration
53,Female,49.28,1.71,Low,At Risk of Dehydration
19,Female,57.9,3.74,High,At Risk of Dehydration
43,Female,94.71,2.59,High,Hydrated
58,Female,90.3,1.31,Low,At Risk of Dehydration
55,Female,84.04,1.42,Low,At Risk of Dehydration
59,Male,93.51,3.72,High,Hydrated
19,Male,68.89,1.28,Moderate,At Risk of Dehydration
55,Female,45.33,1.02,Low,At Risk of Dehydration
55,Female,59.58,3.11,Moderate,At Risk of Dehydration
30,Male,63.11,2.28,High,At Risk of Dehydration
36,Male,99.08,1.29,High,At Risk of Dehydration
44,Female,80.9,3.46,Moderate,At Risk of Dehydration
33,Male,45.66,1.75,High,At Risk of Dehydration
47,Female,51.56,3.1,Moderate,At Risk of Dehydration
40,Female,76.82,1.64,Low,At Risk of Dehydration
29,Female,58.22,2.97,Moderate,At Risk of Dehydration
54,Female,56.05,1.64,Low,At Risk of Dehydration
33,Male,90.45,2.89,Moderate,At Risk of Dehydration
28,Female,56.28,3.89,Low,Hydrated
42,Male,56.06,1.82,Moderate,At Risk of Dehydration
19,Female,77.13,1.5,Moderate,Hydrated
56,Male,63.9,3.55,High,Hydrated
35,Male,70.0,3.02,Low,At Risk of Dehydration
38,Female,52.14,2.89,High,Hydrated
35,Male,94.43,2.94,Moderate,At Risk of Dehydration
56,Male,85.95,3.03,Low,At Risk of Dehydration
57,Male,72.43,3.86,High,Hydrated
59,Male,48.79,2.29,Moderate,At Risk of Dehydration
47,Male,47.15,3.46,Low,Hydrated
46,Female,90.18,1.7,High,At Risk of Dehydration
20,Male,88.8,1.41,Low,At Risk of Dehydration
49,Male,82.18,3.33,High,Hydrated
23,Male,50.6,2.42,High,At Risk of Dehydration
25,Male,85.78,1.63,Low,At Risk of Dehydration
32,Male,93.88,3.04,High,Hydrated
50,Female,95.14,3.28,Low,Hydrated
45,Female,98.0,3.57,Low,At Risk of Dehydration
45,Male,81.48,2.99,High,Hydrated
26,Male,91.08,3.56,Moderate,Hydrated
49,Female,96.17,3.33,High,Hydrated
27,Female,56.35,3.95,High,Hydrated
33,Female,80.65,2.47,Moderate,Hydrated
35,Female,86.86,2.35,Low,At Risk of Dehydration
59,Male,91.2,3.4,High,Hydrated
19,Male,60.44,2.24,Low,Hydrated
37,Male,85.61,3.28,Low,At Risk of Dehydration
56,Female,63.48,3.59,Moderate,At Risk of Dehydration
56,Male,80.93,2.1,Moderate,At Risk of Dehydration
46,Male,97.47,2.73,Low,At Risk of Dehydration
25,Male,91.93,2.11,High,At Risk of Dehydration
31,Female,54.93,3.71,Moderate,At Risk of Dehydration
26,Male,69.33,3.53,High,Hydrated
37,Female,79.77,2.71,High,At Risk of Dehydration
28,Female,69.29,2.71,High,At Risk of Dehydration
26,Male,60.78,3.67,Moderate,At Risk of Dehydration
57,Male,66.56,1.61,High,At Risk of Dehydration
43,Female,71.71,3.09,High,At Risk of Dehydration
24,Female,64.45,1.68,Moderate,At Risk of Dehydration
37,Male,81.28,2.44,Low,Hydrated
50,Male,60.53,3.86,Low,Hydrated
32,Female,95.93,1.53,High,At Risk of Dehydration
36,Male,54.83,1.84,Low,At Risk of Dehydration
27,Male,95.82,1.41,Moderate,At Risk of Dehydration
49,Female,85.94,3.74,Low,Hydrated
28,Female,61.49,2.01,Low,At Risk of Dehydration
48,Male,79.33,2.2,Low,At Risk of Dehydration
50,Male,99.68,1.75,Moderate,At Risk of Dehydration
33,Male,89.09,2.52,Low,Hydrated
43,Male,90.51,1.84,Low,At Risk of Dehydration
40,Female,55.69,1.26,High,At Risk of Dehydration
41,Male,81.97,2.87,High,At Risk of Dehydration
36,Male,52.95,2.5,Moderate,At Risk of Dehydration
47,Male,81.75,1.51,High,At Risk of Dehydration
39,Female,55.23,2.3,Low,At Risk of Dehydration
59,Female,61.75,3.49,High,Hydrated
18,Female,58.01,1.45,Moderate,At Risk of Dehydration
29,Female,76.23,3.71,Low,At Risk of Dehydration
57,Female,49.83,3.52,Moderate,Hydrated
56,Male,48.27,1.08,Moderate,At Risk of Dehydration
39,Male,62.34,1.22,Low,At Risk of Dehydration
27,Male,82.76,2.51,Moderate,At Risk of Dehydration
34,Male,52.4,1.18,Low,At Risk of Dehydration
28,Male,63.84,1.31,Moderate,At Risk of Dehydration
28,Female,53.77,2.46,Low,At Risk of Dehydration
57,Male,58.86,1.23,Low,Hydrated
30,Male,64.81,3.48,Moderate,Hydrated
24,Female,58.07,2.05,Moderate,At Risk of Dehydration
37,Female,73.11,1.62,Moderate,At Risk of Dehydration
59,Male,85.62,3.41,Moderate,At Risk of Dehydration
22,Female,61.19,2.33,High,At Risk of Dehydration
56,Female,95.82,1.48,Moderate,At Risk of Dehydration
37,Male,57.44,2.07,Low,At Risk of Dehydration
54,Male,77.27,2.73,Low,At Risk of Dehydration
53,Male,69.63,1.39,Moderate,At Risk of Dehydration
48,Female,64.85,3.23,High,Hydrated
59,Male,92.47,1.41,High,At Risk of Dehydration
26,Male,88.72,2.64,Low,Hydrated
58,Female,69.7,3.68,Low,Hydrated
39,Male,87.7,1.44,Moderate,At Risk of Dehydration
38,Female,68.56,3.61,Low,Hydrated
21,Male,96.08,2.62,Low,At Risk of Dehydration
24,Male,71.48,3.28,Moderate,At Risk of Dehydration
31,Female,58.65,3.37,Moderate,At Risk of Dehydration
53,Female,53.18,3.25,Low,At Risk of Dehydration
50,Male,46.99,2.34,High,Hydrated
49,Male,75.86,1.76,Moderate,At Risk of Dehydration
25,Female,55.72,1.97,High,At Risk of Dehydration
51,Male,90.34,1.9,Low,At Risk of Dehydration
49,Female,49.99,2.82,Moderate,At Risk of Dehydration
58,Male,67.75,2.83,Moderate,At Risk of Dehydration
51,Male,92.38,2.62,Low,At Risk of Dehydration
50,Female,84.52,2.47,High,At Risk of Dehydration
59,Male,46.13,1.39,Moderate,At Risk of Dehydration
50,Male,63.07,3.12,Moderate,Hydrated
39,Male,76.86,3.77,Moderate,Hydrated
57,Male,87.69,2.2,Low,At Risk of Dehydration
23,Female,68.89,3.81,High,At Risk of Dehydration
54,Male,69.62,2.72,High,At Risk of Dehydration
49,Male,47.95,2.61,Low,At Risk of Dehydration
58,Female,79.86,3.95,High,At Risk of Dehydration
20,Female,56.71,1.91,Moderate,At Risk of Dehydration
36,Female,86.48,3.32,Moderate,Hydrated
30,Female,81.06,3.72,Moderate,Hydrated
40,Female,81.39,1.33,Moderate,At Risk of Dehydration
21,Female,55.81,3.37,Low,At Risk of Dehydration
27,Male,62.79,1.05,High,At Risk of Dehydration
33,Female,79.43,3.26,High,Hydrated
22,Male,71.89,2.2,Low,At Risk of Dehydration
54,Male,53.98,3.27,Moderate,Hydrated
41,Female,61.19,1.56,High,At Risk of Dehydration
19,Female,73.72,1.44,Low,At Risk of Dehydration
37,Male,60.77,3.46,Moderate,At Risk of Dehydration
44,Female,75.59,1.63,Moderate,At Risk of Dehydration
54,Female,45.11,3.79,Low,Hydrated
46,Female,75.1,2.4,Moderate,At Risk of Dehydration
48,Male,81.98,3.32,Moderate,Hydrated
45,Male,83.17,1.99,Low,At Risk of Dehydration
43,Female,99.77,1.02,Moderate,At Risk of Dehydration
24,Female,53.35,1.25,Moderate,At Risk of Dehydration
26,Male,68.86,1.86,Low,At Risk of Dehydration
52,Female,56.72,3.08,Low,Hydrated
53,Male,73.66,2.54,Low,At Risk of Dehydration
44,Male,89.89,2.27,Low,At Risk of Dehydration
33,Male,75.2,3.87,Low,Hydrated
22,Male,83.35,3.16,High,At Risk of Dehydration
40,Male,46.73,1.34,Low,At Risk of Dehydration
55,Male,87.31,3.2,Moderate,At Risk of Dehydration
21,Female,52.83,3.11,Low,At Risk of Dehydration
37,Female,86.03,1.39,Low,At Risk of Dehydration
40,Male,77.59,3.27,Moderate,Hydrated
18,Male,49.46,3.11,High,At Risk of Dehydration
35,Male,65.25,3.55,Low,Hydrated
49,Female,97.12,1.34,Moderate,At Risk of Dehydration
22,Male,84.6,2.65,Low,At Risk of Dehydration
26,Male,84.32,1.62,High,At Risk of Dehydration
38,Female,80.72,1.62,Low,At Risk of Dehydration
31,Female,56.6,1.34,Low,At Risk of Dehydration
53,Male,48.83,3.48,Moderate,Hydrated
48,Male,60.95,2.18,Moderate,Hydrated
52,Male,81.66,3.97,Low,At Risk of Dehydration
40,Male,62.31,3.47,Moderate,Hydrated
45,Female,58.37,1.56,Moderate,At Risk of Dehydration
52,Male,86.73,1.58,Low,At Risk of Dehydration
46,Male,62.79,1.63,Moderate,At Risk of Dehydration
18,Female,78.21,1.88,Moderate,At Risk of Dehydration
59,Female,83.82,2.4,Moderate,At Risk of Dehydration
30,Female,59.42,1.44,High,At Risk of Dehydration
48,Male,78.99,2.59,High,At Risk of Dehydration
30,Male,82.36,2.46,Low,At Risk of Dehydration
45,Female,59.65,3.3,High,Hydrated
26,Female,52.19,2.67,Low,At Risk of Dehydration
29,Female,65.87,1.67,Moderate,At Risk of Dehydration
56,Male,51.78,2.71,Moderate,At Risk of Dehydration
48,Female,77.4,3.26,High,Hydrated
51,Male,98.66,2.84,Moderate,Hydrated
50,Male,52.58,3.86,Low,Hydrated
25,Male,45.27,2.17,High,At Risk of Dehydration
35,Male,52.61,1.1,High,At Risk of Dehydration
49,Female,89.0,3.13,High,At Risk of Dehydration
46,Female,66.34,2.73,Low,At Risk of Dehydration
27,Male,77.84,3.48,High,At Risk of Dehydration
23,Male,99.68,3.75,High,At Risk of Dehydration
56,Female,58.08,3.02,Low,At Risk of Dehydration
54,Female,89.18,3.92,Moderate,Hydrated
51,Male,79.84,2.97,Moderate,At Risk of Dehydration
50,Female,66.86,3.05,High,At Risk of Dehydration
51,Female,58.56,3.69,High,Hydrated
35,Female,88.06,3.61,Moderate,At Risk of Dehydration
20,Male,88.86,1.46,Moderate,At Risk of Dehydration
30,Male,99.94,1.28,High,At Risk of Dehydration
30,Female,95.85,3.64,Moderate,At Risk of Dehydration
52,Male,48.72,3.64,Moderate,At Risk of Dehydration
48,Female,71.57,1.89,Moderate,At Risk of Dehydration
56,Male,92.29,2.85,High,Hydrated
34,Male,67.91,1.99,Moderate,Hydrated
18,Male,46.51,2.14,Low,At Risk of Dehydration
24,Male,51.16,2.39,High,At Risk of Dehydration
46,Female,90.44,1.83,Moderate,At Risk of Dehydration
44,Male,67.95,2.75,Moderate,Hydrated
43,Female,81.29,2.23,Moderate,At Risk of Dehydration
37,Female,96.48,3.64,Low,At Risk of Dehydration
40,Female,63.38,3.13,Low,Hydrated
39,Male,53.64,2.6,Low,Hydrated
56,Male,96.9,1.79,High,At Risk of Dehydration
55,Male,50.15,1.62,Moderate,At Risk of Dehydration
48,Male,56.45,2.87,High,At Risk of Dehydration
36,Male,49.8,2.03,Low,At Risk of Dehydration
50,Female,95.18,1.38,Moderate,Hydrated
37,Male,66.95,3.59,Moderate,Hydrated
18,Male,66.69,2.38,High,At Risk of Dehydration
55,Male,61.87,2.38,Moderate,At Risk of Dehydration
31,Male,84.22,1.03,Moderate,At Risk of Dehydration
27,Female,62.5,3.58,Moderate,Hydrated
52,Male,83.3,2.06,Low,At Risk of Dehydration
47,Female,90.1,1.41,High,At Risk of Dehydration
33,Male,89.42,1.88,Low,At Risk of Dehydration
23,Male,85.45,3.51,High,Hydrated
43,Male,49.56,1.91,High,At Risk of Dehydration
57,Female,63.49,3.68,High,Hydrated
40,Female,93.11,3.92,Low,Hydrated
48,Male,90.66,1.22,Moderate,At Risk of Dehydration
34,Female,83.62,2.15,Low,At Risk of Dehydration
40,Female,85.87,3.62,Moderate,At Risk of Dehydration
47,Female,77.33,1.8,Low,At Risk of Dehydration
37,Female,64.3,2.91,Moderate,Hydrated
40,Female,73.64,2.81,High,Hydrated
58,Female,81.61,3.66,High,At Risk of Dehydration
23,Female,88.31,3.07,High,At Risk of Dehydration
40,Female,88.68,1.63,High,At Risk of Dehydration
23,Male,87.17,2.9,Low,At Risk of Dehydration
28,Male,88.25,1.47,High,At Risk of Dehydration
59,Female,52.01,1.93,High,At Risk of Dehydration
43,Male,67.73,2.51,Moderate,Hydrated
41,Male,83.86,1.12,High,At Risk of Dehydration
43,Male,54.64,2.92,Low,At Risk of Dehydration
58,Female,88.33,2.24,High,At Risk of Dehydration
44,Female,82.05,2.07,Low,At Risk of Dehydration
22,Male,96.39,3.2,High,At Risk of Dehydration
45,Female,63.32,3.74,Low,At Risk of Dehydration
30,Male,67.92,1.46,Moderate,At Risk of Dehydration
54,Female,85.59,3.96,Low,Hydrated
31,Male,64.62,1.48,Low,At Risk of Dehydration
41,Male,72.83,1.09,Low,At Risk of Dehydration
53,Male,81.96,2.55,Moderate,At Risk of Dehydration
28,Female,59.85,2.57,Moderate,At Risk of Dehydration
50,Female,82.6,3.23,High,Hydrated
49,Male,54.82,3.31,High,Hydrated
44,Female,91.96,2.84,High,At Risk of Dehydration
52,Male,93.64,3.96,High,Hydrated
55,Female,85.39,3.4,High,Hydrated
33,Male,50.74,1.43,High,At Risk of Dehydration
29,Female,87.86,1.17,High,At Risk of Dehydration
36,Female,61.83,3.11,Low,Hydrated
42,Female,98.7,1.14,Low,At Risk of Dehydration
24,Male,79.42,3.26,High,Hydrated
40,Male,68.55,1.39,High,At Risk of Dehydration
56,Female,96.59,3.89,Low,Hydrated
56,Male,51.99,2.23,Moderate,Hydrated
23,Male,64.55,3.9,High,Hydrated
38,Male,56.68,1.87,Moderate,At Risk of Dehydration
50,Female,65.52,3.69,Low,Hydrated
30,Female,77.08,2.05,Moderate,At Risk of Dehydration
37,Female,45.73,1.09,Low,At Risk of Dehydration
21,Female,85.47,3.46,Low,Hydrated
59,Female,62.9,3.71,Moderate,Hydrated
35,Female,78.65,2.99,Low,At Risk of Dehydration
51,Female,90.12,3.41,High,At Risk of Dehydration
58,Male,51.51,3.22,Moderate,At Risk of Dehydration
28,Female,83.18,3.49,Low,Hydrated
57,Female,85.55,3.78,Moderate,Hydrated
30,Male,60.36,3.09,Low,Hydrated
44,Female,92.44,3.13,Low,Hydrated
52,Male,59.51,1.35,High,At Risk of Dehydration
39,Female,72.27,1.74,Low,At Risk of Dehydration
35,Male,76.85,2.1,High,At Risk of Dehydration
22,Male,77.83,1.05,Moderate,At Risk of Dehydration
49,Male,82.03,3.29,High,Hydrated
20,Male,99.44,1.52,Low,At Risk of Dehydration
20,Male,57.91,3.27,Moderate,At Risk of Dehydration
40,Female,51.55,1.77,Low,At Risk of Dehydration
53,Female,57.85,1.97,Low,At Risk of Dehydration
44,Female,52.43,1.82,High,At Risk of Dehydration
32,Female,74.78,3.04,Moderate,At Risk of Dehydration
24,Female,64.56,2.72,Moderate,At Risk of Dehydration
32,Female,50.17,2.0,Low,At Risk of Dehydration
41,Female,91.86,3.29,High,Hydrated
45,Male,51.39,2.73,Moderate,At Risk of Dehydration
56,Female,94.32,1.74,High,At Risk of Dehydration
21,Male,89.52,2.42,Moderate,At Risk of Dehydration
33,Female,66.84,1.45,Moderate,At Risk of Dehydration
27,Female,96.96,3.87,Moderate,Hydrated
56,Male,54.13,2.83,Moderate,Hydrated
26,Female,70.85,3.96,Low,Hydrated
28,Male,72.73,1.63,Moderate,At Risk of Dehydration
44,Male,83.5,1.37,High,At Risk of Dehydration
58,Female,64.76,3.46,Moderate,Hydrated
43,Female,93.23,1.88,Low,At Risk of Dehydration
27,Female,75.01,2.55,High,At Risk of Dehydration
53,Male,82.37,3.89,High,At Risk of Dehydration
49,Male,45.84,1.36,Moderate,At Risk of Dehydration
47,Male,80.92,1.32,High,At Risk of Dehydration
46,Male,80.66,3.93,Low,Hydrated
18,Female,57.24,2.07,High,At Risk of Dehydration
51,Female,52.52,2.39,Moderate,Hydrated
34,Male,97.77,2.78,Low,At Risk of Dehydration
19,Female,94.77,1.56,Low,Hydrated
29,Female,69.2,1.34,High,At Risk of Dehydration
26,Female,97.45,2.58,High,At Risk of Dehydration
54,Female,96.57,2.89,Low,At Risk of Dehydration
51,Female,69.38,3.55,Low,At Risk of Dehydration
24,Female,56.59,3.62,Moderate,Hydrated
58,Male,91.31,3.42,High,At Risk of Dehydration
42,Female,99.04,3.22,Low,At Risk of Dehydration
23,Female,99.28,3.05,High,At Risk of Dehydration
39,Male,96.92,1.69,Moderate,At Risk of Dehydration
27,Male,79.04,1.9,Moderate,At Risk of Dehydration
23,Male,79.64,1.98,Low,At Risk of Dehydration
51,Male,86.73,3.27,High,At Risk of Dehydration
57,Female,78.2,2.22,Low,At Risk of Dehydration
26,Male,50.85,2.67,Moderate,Hydrated
20,Female,66.69,3.8,Moderate,Hydrated
26,Male,86.12,3.12,Low,At Risk of Dehydration
39,Male,62.52,1.05,High,At Risk of Dehydration
53,Female,63.35,1.25,High,At Risk of Dehydration
44,Male,59.33,2.83,High,At Risk of Dehydration
41,Male,71.61,3.11,Low,At Risk of Dehydration
19,Male,79.92,3.28,Moderate,Hydrated
31,Male,87.32,2.83,Moderate,At Risk of Dehydration
46,Male,45.43,1.17,High,At Risk of Dehydration
18,Male,91.53,1.99,High,At Risk of Dehydration
39,Male,79.01,2.58,High,At Risk of Dehydration
55,Female,51.92,1.79,Moderate,At Risk of Dehydration
39,Female,87.83,1.11,High,At Risk of Dehydration
37,Female,79.38,1.36,High,At Risk of Dehydration
20,Female,56.57,2.52,Low,At Risk of Dehydration
41,Female,86.03,3.53,Low,Hydrated
18,Male,79.75,3.48,Moderate,Hydrated
27,Female,70.61,2.75,Moderate,Hydrated
32,Female,55.3,3.03,High,Hydrated
53,Male,68.4,1.92,Moderate,At Risk of Dehydration
31,Male,71.55,3.41,Low,At Risk of Dehydration
36,Female,79.63,1.34,Low,At Risk of Dehydration
43,Female,63.98,3.07,Moderate,Hydrated
50,Female,63.4,2.77,Low,At Risk of Dehydration
43,Male,50.19,1.47,Moderate,At Risk of Dehydration
52,Female,81.28,2.86,Low,Hydrated
26,Male,49.63,2.69,Moderate,At Risk of Dehydration
48,Male,53.5,1.6,Low,At Risk of Dehydration
33,Female,68.67,2.5,Low,At Risk of Dehydration
59,Male,89.28,1.81,Moderate,Hydrated
25,Female,63.29,3.99,Moderate,Hydrated
40,Female,58.96,2.61,High,At Risk of Dehydration
39,Male,80.55,3.24,High,At Risk of Dehydration
38,Male,64.59,1.78,Moderate,At Risk of Dehydration
59,Male,51.05,3.23,Moderate,Hydrated
21,Male,66.26,1.93,High,At Risk of Dehydration
30,Female,47.93,2.65,Low,At Risk of Dehydration
24,Male,47.38,2.98,Moderate,Hydrated
48,Male,75.03,1.57,Moderate,At Risk of Dehydration
40,Female,79.36,2.16,High,At Risk of Dehydration
52,Male,90.28,1.51,Moderate,At Risk of Dehydration
26,Female,81.44,2.81,Moderate,Hydrated
48,Female,75.72,1.34,Moderate,At Risk of Dehydration
37,Male,77.9,3.96,High,Hydrated
46,Female,50.64,3.2,Moderate,Hydrated
24,Female,45.3,3.59,Moderate,At Risk of Dehydration
25,Male,49.86,2.45,High,Hydrated
51,Male,54.68,3.55,Low,Hydrated
40,Female,71.35,2.97,Low,Hydrated
31,Male,64.77,3.25,Low,Hydrated
22,Female,88.07,3.54,Moderate,Hydrated
40,Male,64.57,2.7,High,At Risk of Dehydration
27,Male,88.7,1.55,Moderate,At Risk of Dehydration
31,Female,84.92,1.11,Low,At Risk of Dehydration
25,Female,98.11,2.32,Low,At Risk of Dehydration
36,Male,92.97,3.69,High,At Risk of Dehydration
53,Male,85.07,3.03,High,At Risk of Dehydration
37,Female,72.04,3.93,Moderate,Hydrated
44,Female,57.95,3.32,Moderate,At Risk of Dehydration
55,Female,47.98,3.93,Moderate,Hydrated
35,Male,95.47,1.9,Moderate,At Risk of Dehydration
36,Male,52.06,3.24,Moderate,Hydrated
57,Female,73.77,1.23,High,At Risk of Dehydration
26,Female,72.44,3.02,Low,Hydrated
30,Male,72.51,1.37,High,At Risk of Dehydration
33,Male,66.78,1.23,Low,At Risk of Dehydration
57,Female,76.07,3.18,High,Hydrated
56,Male,46.48,3.98,Moderate,Hydrated
23,Male,76.47,2.94,High,At Risk of Dehydration
25,Female,56.72,2.18,Low,At Risk of Dehydration
36,Female,71.7,3.8,Moderate,Hydrated
54,Female,89.1,1.78,High,At Risk of Dehydration
32,Female,54.76,2.1,Moderate,Hydrated
48,Male,99.56,3.48,High,At Risk of Dehydration
42,Female,50.94,3.22,Moderate,At Risk of Dehydration
40,Female,63.83,2.31,Low,At Risk of Dehydration
44,Male,63.03,1.79,Low,At Risk of Dehydration
35,Male,62.23,1.06,Moderate,At Risk of Dehydration
23,Female,96.93,3.56,Low,At Risk of Dehydration
34,Male,89.62,3.49,Low,At Risk of Dehydration
25,Male,61.91,2.08,Low,At Risk of Dehydration
38,Male,50.89,1.57,Low,Hydrated
32,Female,76.5,3.71,High,Hydrated
19,Female,66.94,1.87,Low,At Risk of Dehydration
33,Male,69.8,2.09,Moderate,At Risk of Dehydration
32,Female,66.54,2.93,Moderate,At Risk of Dehydration
46,Female,90.2,2.76,High,At Risk of Dehydration
41,Female,71.0,3.09,Moderate,At Risk of Dehydration
19,Female,81.8,1.11,Low,At Risk of Dehydration
34,Male,72.26,2.23,Low,At Risk of Dehydration
48,Male,88.61,3.24,Low,Hydrated
50,Female,92.29,3.49,High,At Risk of Dehydration
43,Female,64.53,3.58,High,At Risk of Dehydration
47,Male,60.88,1.75,Low,At Risk of Dehydration
39,Male,51.84,2.41,Low,At Risk of Dehydration
57,Female,51.0,2.81,High,At Risk of Dehydration
54,Female,89.0,2.06,High,At Risk of Dehydration
24,Male,99.89,2.6,High,At Risk of Dehydration
53,Male,50.58,3.06,Low,At Risk of Dehydration
31,Female,68.31,1.08,Moderate,At Risk of Dehydration
25,Female,97.68,3.98,Moderate,Hydrated
38,Male,80.56,3.59,Moderate,Hydrated
51,Female,94.35,1.42,Moderate,At Risk of Dehydration
22,Male,77.57,2.77,High,At Risk of Dehydration
54,Male,85.29,3.54,High,Hydrated
48,Male,91.08,1.03,Low,At Risk of Dehydration
53,Male,98.28,3.62,High,At Risk of Dehydration
41,Female,59.23,1.69,Moderate,At Risk of Dehydration
43,Male,98.77,2.48,Low,At Risk of Dehydration
41,Female,74.34,2.75,Moderate,At Risk of Dehydration
38,Female,60.0,3.36,Low,Hydrated
42,Male,74.68,1.97,High,At Risk of Dehydration
30,Male,53.18,2.13,High,Hydrated
55,Male,73.3,1.47,Moderate,At Risk of Dehydration
59,Female,53.45,2.37,Moderate,Hydrated
42,Male,70.18,3.13,High,Hydrated
20,Male,96.27,1.1,High,At Risk of Dehydration
29,Female,92.88,1.43,Moderate,At Risk of Dehydration
22,Male,64.56,2.53,Moderate,At Risk of Dehydration
44,Female,67.52,2.45,Low,At Risk of Dehydration
34,Female,95.02,2.18,Moderate,At Risk of Dehydration
35,Female,47.77,2.5,High,Hydrated
58,Male,53.49,2.25,Low,At Risk of Dehydration
31,Female,89.25,3.95,Moderate,At Risk of Dehydration
40,Female,88.86,2.99,Low,At Risk of Dehydration
24,Male,90.39,3.12,Moderate,At Risk of Dehydration
52,Male,78.75,1.96,Moderate,At Risk of Dehydration
47,Female,86.04,2.03,Low,At Risk of Dehydration
27,Female,88.54,1.33,Low,At Risk of Dehydration
34,Female,87.19,3.17,High,At Risk of Dehydration
41,Female,85.85,3.8,Moderate,At Risk of Dehydration
25,Female,80.87,2.57,Low,At Risk of Dehydration
33,Female,89.51,2.06,High,At Risk of Dehydration
46,Female,49.96,3.86,Moderate,Hydrated
50,Male,46.9,2.19,Low,At Risk of Dehydration
42,Male,60.69,3.07,Low,Hydrated
35,Female,64.17,1.64,Moderate,At Risk of Dehydration
39,Female,60.81,3.75,Moderate,Hydrated
34,Male,62.79,1.37,Low,At Risk of Dehydration
45,Male,67.36,3.7,Low,Hydrated
26,Female,69.66,1.27,Moderate,At Risk of Dehydration
58,Female,87.46,3.39,Moderate,At Risk of Dehydration
40,Female,66.12,1.15,Low,At Risk of Dehydration
27,Male,49.38,2.03,Moderate,At Risk of Dehydration
35,Male,45.57,1.84,Moderate,At Risk of Dehydration
48,Female,69.99,3.24,Moderate,Hydrated
34,Female,62.11,3.85,Low,Hydrated
33,Female,73.21,3.66,High,At Risk of Dehydration
21,Male,78.88,3.76,Moderate,Hydrated
24,Female,60.93,3.47,High,At Risk of Dehydration
54,Male,93.23,3.44,Moderate,Hydrated
40,Male,96.9,2.95,Low,Hydrated
38,Male,87.29,1.14,High,At Risk of Dehydration
41,Male,74.34,3.41,Moderate,Hydrated
42,Female,55.22,2.46,Moderate,At Risk of Dehydration
56,Female,53.75,3.66,High,Hydrated
44,Male,61.59,3.05,Moderate,Hydrated
33,Male,54.19,1.18,Low,At Risk of Dehydration
35,Female,63.67,1.79,Low,At Risk of Dehydration
50,Male,89.61,3.68,High,At Risk of Dehydration
53,Female,51.58,3.76,Moderate,Hydrated
43,Male,97.44,3.82,Low,Hydrated
45,Male,98.43,2.22,High,At Risk of Dehydration
24,Male,91.13,2.63,Moderate,At Risk of Dehydration
40,Male,49.58,1.69,High,At Risk of Dehydration
27,Male,77.61,2.04,High,Hydrated
30,Female,82.93,1.41,High,At Risk of Dehydration
53,Male,53.2,2.86,Moderate,Hydrated
31,Male,60.25,3.38,Low,Hydrated
45,Male,55.85,1.93,Low,At Risk of Dehydration
25,Male,92.01,1.49,Low,At Risk of Dehydration
24,Female,89.21,1.55,Moderate,At Risk of Dehydration
43,Female,55.84,1.65,Moderate,At Risk of Dehydration
49,Female,60.5,3.19,Low,At Risk of Dehydration
19,Female,83.0,2.3,Low,At Risk of Dehydration
57,Male,98.87,1.86,Low,At Risk of Dehydration
18,Male,90.34,2.95,High,Hydrated
37,Female,66.12,3.84,High,At Risk of Dehydration
23,Male,68.03,2.44,Moderate,At Risk of Dehydration
44,Female,76.16,1.51,Low,At Risk of Dehydration
44,Female,80.12,3.1,High,At Risk of Dehydration
56,Male,66.05,3.54,Low,Hydrated
42,Male,58.96,1.43,High,At Risk of Dehydration
36,Male,70.43,3.16,Low,At Risk of Dehydration
53,Female,79.94,1.54,Moderate,At Risk of Dehydration
46,Male,46.58,1.43,High,At Risk of Dehydration
30,Male,67.62,3.37,Moderate,Hydrated
29,Female,62.21,2.24,High,At Risk of Dehydration
23,Male,99.62,1.42,High,Hydrated
49,Female,80.78,1.63,High,At Risk of Dehydration
31,Female,53.87,3.6,Moderate,Hydrated
21,Male,48.54,2.73,Low,Hydrated
40,Male,75.85,2.49,Moderate,At Risk of Dehydration
56,Female,46.42,2.74,Moderate,At Risk of Dehydration
51,Female,70.19,2.89,High,At Risk of Dehydration
46,Female,85.57,1.31,Moderate,At Risk of Dehydration
41,Male,63.09,3.09,Moderate,At Risk of Dehydration
23,Male,59.55,2.92,Moderate,Hydrated
24,Male,87.34,3.49,Low,Hydrated
24,Male,80.04,3.36,High,At Risk of Dehydration
57,Male,77.38,2.06,Low,At Risk of Dehydration
33,Male,69.03,1.06,Low,At Risk of Dehydration
37,Female,85.17,3.04,Low,Hydrated
47,Female,61.8,1.5,Low,At Risk of Dehydration
